2018-06-27 13:28:29 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory - using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2018-06-27 13:28:31 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Register dubbo service com.jsw.service.OrderCouponDetailsService url dubbo://192.168.0.34:20880/com.jsw.service.OrderCouponDetailsService?anyhost=true&application=jsw-dubbo&dubbo=2.5.3&interface=com.jsw.service.OrderCouponDetailsService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=10060&side=provider&timeout=1200000&timestamp=1530077311510 to registry registry://localhost:2181/com.alibaba.dubbo.registry.RegistryService?application=jsw-dubbo&dubbo=2.5.3&logger=slf4j&pid=10060&registry=zookeeper&timestamp=1530077311510, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:28:31 [main] INFO  c.a.dubbo.registry.zookeeper.ZookeeperRegistry -  [DUBBO] Register: dubbo://192.168.0.34:20880/com.jsw.service.OrderCouponDetailsService?anyhost=true&application=jsw-dubbo&dubbo=2.5.3&interface=com.jsw.service.OrderCouponDetailsService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=10060&side=provider&timeout=1200000&timestamp=1530077311510, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:28:31 [main] INFO  c.a.dubbo.registry.zookeeper.ZookeeperRegistry -  [DUBBO] Subscribe: provider://192.168.0.34:20880/com.jsw.service.OrderCouponDetailsService?anyhost=true&application=jsw-dubbo&category=configurators&check=false&dubbo=2.5.3&interface=com.jsw.service.OrderCouponDetailsService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=10060&side=provider&timeout=1200000&timestamp=1530077311510, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:28:31 [main] INFO  c.a.dubbo.registry.zookeeper.ZookeeperRegistry -  [DUBBO] Notify urls for subscribe url provider://192.168.0.34:20880/com.jsw.service.OrderCouponDetailsService?anyhost=true&application=jsw-dubbo&category=configurators&check=false&dubbo=2.5.3&interface=com.jsw.service.OrderCouponDetailsService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=10060&side=provider&timeout=1200000&timestamp=1530077311510, urls: [empty://192.168.0.34:20880/com.jsw.service.OrderCouponDetailsService?anyhost=true&application=jsw-dubbo&category=configurators&check=false&dubbo=2.5.3&interface=com.jsw.service.OrderCouponDetailsService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=10060&side=provider&timeout=1200000&timestamp=1530077311510], dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:28:31 [main] INFO  com.alibaba.dubbo.container.Main -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:34:06 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory - using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2018-06-27 13:34:07 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] The service ready on spring started. service: com.jsw.service.OrderCouponService, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:34:08 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Export dubbo service com.jsw.service.OrderCouponService to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:34:08 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Export dubbo service com.jsw.service.OrderCouponService to url dubbo://192.168.0.34:20880/com.jsw.service.OrderCouponService?anyhost=true&application=jsw-dubbo&dubbo=2.5.3&interface=com.jsw.service.OrderCouponService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=4700&side=provider&timeout=1200000&timestamp=1530077647959, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:34:08 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Register dubbo service com.jsw.service.OrderCouponService url dubbo://192.168.0.34:20880/com.jsw.service.OrderCouponService?anyhost=true&application=jsw-dubbo&dubbo=2.5.3&interface=com.jsw.service.OrderCouponService&logger=slf4j&methods=selectByPrimaryKey,insertSelective,updateByPrimaryKey,deleteByPrimaryKey,updateByPrimaryKeySelective,insert&pid=4700&side=provider&timeout=1200000&timestamp=1530077647959 to registry registry://10.141.154.132:2181/com.alibaba.dubbo.registry.RegistryService?application=jsw-dubbo&dubbo=2.5.3&logger=slf4j&pid=4700&registry=zookeeper&timestamp=1530077647949, dubbo version: 2.5.3, current host: 127.0.0.1
2018-06-27 13:34:08 [main] INFO  c.alibaba.dubbo.remoting.transport.AbstractServer -  [DUBBO] Start NettyServer bind /0.0.0.0:20880, export /192.168.0.34:20880, dubbo version: 2.5.3, current host: 127.0.0.1
